counter,value
385,79
386,83
387,81
388,78
389,80
390,80
391,180.0
392,59000.0
393,59000.0
394,160.0
395,120.0
396,78
397,78
398,81
399,81
400,78
401,79
402,150.0
403,160.0
404,150.0
405,160.0
406,150.0
407,87
408,89
409,79
410,79
411,89
412,82
413,86
414,94
415,80
416,130.0
417,150.0
418,120.0
419,94
420,87
421,100.0
422,85
423,80
424,110.0
425,100.0
426,87
427,120.0
428,130.0
429,130.0
430,130.0
431,110.0
432,120.0
433,130.0
434,110.0
435,100.0
436,320.0
437,140.0
438,85
439,83
440,82
441,81
442,81
443,82
444,82
445,81
446,81
447,80
448,80
449,81
450,81
451,82
452,81
453,79
454,80
455,82
456,81
457,80
458,80
459,85
460,140.0
461,84
462,83
463,81
464,80
465,80
466,80
467,82
468,94
469,90
470,82
471,86
472,87
473,86
474,85
475,86
476,85
477,84
478,83
479,82
480,110.0
481,120.0
482,78
483,78
484,78
485,84
486,80
487,83
488,87
489,79
490,130.0
491,140.0
492,100.0
493,110.0
494,78
495,78
496,78
497,80
498,82
499,120.0
500,120.0
501,78
502,220.0
503,140.0
504,87
505,84
506,82
507,82
508,80
509,80
510,80
511,78
512,79
513,100.0
514,120.0
515,84
516,81
517,81
518,80
519,140.0
520,140.0
521,78
522,79
523,79
524,78
525,78
526,82
527,85
528,79
529,80
530,80
531,86
532,140.0
533,88
534,82
535,80
536,81
537,81
538,82
539,82
540,84
541,84
542,85
543,91
544,110.0
545,83
546,79
547,78
548,77
549,84
550,120.0
551,82
552,77
553,88
554,79
555,140.0
556,59000.0
557,83
558,79
559,78
560,78
561,79
562,79
563,82
564,80
565,77
566,77
567,80
568,27000.0
569,130.0
570,81
571,87
572,110.0
573,83
574,85
575,88
576,84
577,82
578,83
579,85
580,91
581,86
582,84
583,83
584,83
585,84
586,82
587,83
588,84
589,82
590,83
591,85
592,85
593,83
594,82
595,78
596,78
597,77
598,77
599,78
600,79
601,78
602,79
603,85
604,81
605,79
606,59000.0
607,220.0
608,77
609,77
610,77
611,84
612,93
613,110.0
614,83
615,82
616,82
617,83
618,88
619,140.0
620,79
621,80
622,80
623,79
624,80
625,79
626,77
627,81
628,82
629,80
630,150.0
631,180.0
632,83
633,120.0
634,130.0
635,84
636,83
637,82
638,82
639,82
640,81
641,82
642,86
643,130.0
644,85
645,78
646,81
647,81
648,79
649,79
650,78
651,83
652,79
653,88
654,150.0
655,160.0
656,110.0
657,80
658,79
659,78
660,79
661,78
662,80
663,82
664,82
665,82
666,140.0
667,160.0
668,120.0
669,78
670,78
671,80
672,81
673,82
674,85
675,82
676,86
677,84
678,130.0
679,54000.0
680,140.0
681,120.0
682,81
683,85
684,120.0
685,130.0
686,130.0
687,81
688,83
689,99
690,88
691,130.0
692,450.0
693,130.0
694,85
695,86
696,85
697,86
698,86
699,83
700,83
701,85
702,86
703,85
704,82
705,84
706,84
707,84
708,84
709,83
710,82
711,82
712,82
713,84
714,85
715,84
716,77
717,78
718,78
719,79
720,80
